                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.6541,                0.64677,                 1.0929,                0.90737,                0.85256,                 0.9502,                0.75863,                0.89261,                0.62925,                 1.2662,               0.005347,               0.005347,               0.005347
                     49,                0.63014,                 0.6177,                 1.0873,                0.90493,                0.86908,                0.94475,                0.75646,                0.92945,                0.59147,                 1.3325,               0.005248,               0.005248,               0.005248
                     50,                0.62108,                0.60622,                 1.0726,                0.87883,                0.91632,                0.95155,                0.76409,                 0.8746,                0.54917,                 1.2729,               0.005149,               0.005149,               0.005149
                     51,                0.62811,                0.60992,                 1.0818,                0.88502,                0.86318,                0.95081,                0.77178,                0.88982,                0.61218,                 1.2853,                0.00505,                0.00505,                0.00505
                     52,                0.61925,                0.60404,                 1.0743,                0.93553,                0.86708,                0.94386,                0.77796,                0.82201,                0.59477,                 1.2252,               0.004951,               0.004951,               0.004951
                     53,                0.61123,                0.59293,                  1.078,                0.91651,                 0.8612,                0.93445,                  0.759,                0.83821,                 0.6066,                 1.2448,               0.004852,               0.004852,               0.004852
                     54,                0.61293,                0.58386,                 1.0747,                0.92409,                0.87105,                 0.9389,                0.76439,                0.87886,                0.58904,                 1.2825,               0.004753,               0.004753,               0.004753
                     55,                0.62081,                0.58446,                 1.0867,                0.89262,                0.85923,                0.93901,                0.77183,                0.85361,                0.58291,                 1.2845,               0.004654,               0.004654,               0.004654
                     56,                0.60915,                0.57251,                 1.0728,                 0.9292,                0.88461,                0.93264,                0.76971,                0.78262,                0.56155,                 1.2103,               0.004555,               0.004555,               0.004555
                     57,                0.60701,                0.57611,                  1.072,                0.94645,                0.90926,                0.94384,                0.74784,                 0.9153,                0.51798,                 1.3292,               0.004456,               0.004456,               0.004456
                     58,                0.59577,                 0.5676,                 1.0688,                0.91608,                0.88729,                 0.9514,                 0.7689,                0.89612,                0.63072,                 1.3177,               0.004357,               0.004357,               0.004357
                     59,                 0.6019,                 0.5616,                 1.0693,                0.91676,                0.87277,                0.95839,                0.77894,                0.82538,                0.53816,                 1.2463,               0.004258,               0.004258,               0.004258
                     60,                 0.5872,                0.54272,                 1.0573,                 0.8871,                0.91785,                0.94176,                0.75276,                0.91446,                0.54954,                   1.33,               0.004159,               0.004159,               0.004159
                     61,                 0.5952,                0.53058,                 1.0616,                0.91936,                0.88255,                0.93994,                 0.7666,                0.87341,                0.58582,                 1.2909,                0.00406,                0.00406,                0.00406
                     62,                0.57129,                0.50912,                  1.049,                0.91678,                0.86011,                0.94341,                0.74322,                0.94751,                0.57944,                 1.3972,               0.003961,               0.003961,               0.003961
                     63,                0.58311,                0.52315,                  1.062,                0.91155,                0.88735,                 0.9517,                0.75371,                0.94932,                0.55511,                 1.3845,               0.003862,               0.003862,               0.003862
                     64,                0.58059,                0.51936,                 1.0604,                 0.9054,                0.89091,                0.95065,                0.76842,                0.86896,                0.56471,                 1.2861,               0.003763,               0.003763,               0.003763
                     65,                0.57084,                0.51728,                 1.0559,                0.89351,                0.89402,                0.94312,                 0.7802,                0.80476,                0.53347,                 1.2305,               0.003664,               0.003664,               0.003664
                     66,                0.56589,                0.49171,                  1.042,                0.90276,                0.89624,                0.94844,                0.78151,                0.78962,                0.54662,                 1.2202,               0.003565,               0.003565,               0.003565
                     67,                0.55488,                0.49371,                 1.0501,                0.93136,                 0.8884,                0.95399,                0.76852,                  0.883,                0.52784,                 1.2986,               0.003466,               0.003466,               0.003466
                     68,                0.56111,                0.50933,                 1.0489,                0.90007,                0.87178,                 0.9417,                0.75212,                0.91616,                  0.604,                 1.3193,               0.003367,               0.003367,               0.003367
                     69,                 0.5552,                0.49498,                 1.0434,                0.90309,                0.88336,                0.95282,                0.78936,                0.80697,                0.60832,                 1.2361,               0.003268,               0.003268,               0.003268
                     70,                0.55876,                 0.4831,                   1.05,                0.88966,                0.89495,                0.94483,                0.77159,                0.83877,                0.58884,                 1.2461,               0.003169,               0.003169,               0.003169
                     71,                0.56795,                0.49234,                 1.0516,                0.92465,                0.88429,                0.94079,                0.76381,                0.88564,                0.57647,                 1.3139,                0.00307,                0.00307,                0.00307
                     72,                0.54585,                0.46826,                 1.0394,                 0.9026,                0.91193,                0.95527,                0.78003,                 0.8686,                0.54076,                 1.2828,               0.002971,               0.002971,               0.002971
                     73,                0.54477,                0.47258,                 1.0397,                0.91488,                0.91035,                0.95963,                0.78395,                0.85465,                 0.4928,                 1.2746,               0.002872,               0.002872,               0.002872
                     74,                0.53906,                0.44938,                  1.029,                0.93244,                0.87367,                0.96228,                0.79148,                0.81461,                0.50474,                 1.2537,               0.002773,               0.002773,               0.002773
                     75,                0.54034,                0.44597,                 1.0361,                 0.8997,                0.90229,                0.94048,                0.76468,                0.83752,                0.53573,                 1.2482,               0.002674,               0.002674,               0.002674
                     76,                 0.5316,                0.43541,                 1.0303,                 0.9014,                0.90182,                0.94576,                0.77638,                0.83387,                0.55646,                 1.2605,               0.002575,               0.002575,               0.002575
                     77,                0.54058,                0.46084,                 1.0362,                0.91166,                0.91197,                0.96196,                0.78374,                0.83308,                0.46985,                 1.2751,               0.002476,               0.002476,               0.002476
                     78,                0.54042,                0.45357,                 1.0351,                0.89807,                0.89494,                 0.9489,                0.77449,                0.85702,                 0.5223,                 1.3027,               0.002377,               0.002377,               0.002377
                     79,                0.53738,                0.44463,                 1.0337,                0.90818,                0.88821,                0.95047,                0.78886,                0.80863,                0.55053,                 1.2435,               0.002278,               0.002278,               0.002278
                     80,                0.52344,                0.41841,                 1.0238,                0.87949,                0.91365,                0.96108,                0.78634,                0.86144,                0.52033,                 1.2931,               0.002179,               0.002179,               0.002179
                     81,                0.52472,                 0.4134,                 1.0274,                0.94891,                0.87377,                0.95891,                0.77764,                0.88652,                0.50149,                 1.3223,                0.00208,                0.00208,                0.00208
                     82,                0.51781,                0.41837,                 1.0236,                0.88868,                0.90824,                0.95947,                0.78325,                0.83855,                0.50707,                 1.2702,               0.001981,               0.001981,               0.001981
                     83,                0.50826,                0.40696,                 1.0187,                0.89976,                0.89047,                0.95374,                 0.7711,                0.86527,                0.53568,                 1.2966,               0.001882,               0.001882,               0.001882
                     84,                0.51796,                0.41266,                 1.0221,                0.92662,                0.87137,                0.95628,                0.79023,                0.80752,                0.49391,                 1.2451,               0.001783,               0.001783,               0.001783
                     85,                0.50837,                0.41269,                 1.0153,                0.91484,                0.89327,                0.96329,                0.78953,                0.83924,                0.49467,                 1.2697,               0.001684,               0.001684,               0.001684
